"module name","license","repository"
"aws-sign2@0.7.0","Apache-2.0","https://github.com/mikeal/aws-sign"
"aws4@1.8.0","MIT","https://github.com/mhart/aws4"
"axios@0.18.0","MIT","https://github.com/axios/axios"
"azure-devops-node-api@7.2.0","MIT","https://github.com/Microsoft/azure-devops-node-api"
"babel-code-frame@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-code-frame"
"babel-core@6.26.3","MIT","https://github.com/babel/babel/tree/master/packages/babel-core"
"babel-generator@6.26.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-generator"
"babel-helper-bindify-decorators@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-bindify-decorators"
"babel-helper-builder-binary-assignment-operator-visitor@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-builder-binary-assignment-operator-visitor"
"babel-helper-call-delegate@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-call-delegate"
"babel-helper-define-map@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-define-map"
"babel-helper-explode-assignable-expression@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-assignable-expression"
"babel-helper-explode-class@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-explode-class"
"babel-helper-function-name@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-function-name"
"babel-helper-get-function-arity@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-get-function-arity"
"babel-helper-hoist-variables@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-hoist-variables"
"babel-helper-optimise-call-expression@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-optimise-call-expression"
"babel-helper-regex@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-regex"
"babel-helper-remap-async-to-generator@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-remap-async-to-generator"
"babel-helper-replace-supers@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helper-replace-supers"
"babel-helpers@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-helpers"
"babel-jest@23.6.0","MIT","https://github.com/facebook/jest"
"babel-messages@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-messages"
"babel-plugin-check-es2015-constants@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-check-es2015-constants"
"babel-plugin-istanbul@4.1.6","BSD-3-Clause","https://github.com/istanbuljs/babel-plugin-istanbul"
"babel-plugin-jest-hoist@23.2.0","MIT","https://github.com/facebook/jest"
"babel-plugin-syntax-async-functions@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-functions"
"babel-plugin-syntax-async-generators@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-async-generators"
"babel-plugin-syntax-class-properties@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-class-properties"
"babel-plugin-syntax-decorators@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-decorators"
"babel-plugin-syntax-dynamic-import@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-dynamic-import"
"babel-plugin-syntax-exponentiation-operator@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-exponentation-operator"
"babel-plugin-syntax-flow@6.18.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-flow"
"babel-plugin-syntax-object-rest-spread@6.13.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-object-rest-spread"
"babel-plugin-syntax-trailing-function-commas@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-syntax-trailing-function-commas"
"babel-plugin-transform-async-generator-functions@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-generator-functions"
"babel-plugin-transform-async-to-generator@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-async-to-generator"
"babel-plugin-transform-class-properties@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-class-properties"
"babel-plugin-transform-decorators@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-decorators"
"babel-plugin-transform-es2015-arrow-functions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-arrow-functions"
"babel-plugin-transform-es2015-block-scoped-functions@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-block-scoped-functions"
"babel-plugin-transform-es2015-block-scoping@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-block-scoping"
"babel-plugin-transform-es2015-classes@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-classes"
"babel-plugin-transform-es2015-computed-properties@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-computed-properties"
"babel-plugin-transform-es2015-destructuring@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-destructuring"
"babel-plugin-transform-es2015-duplicate-keys@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-duplicate-keys"
"babel-plugin-transform-es2015-for-of@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-for-of"
"babel-plugin-transform-es2015-function-name@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-function-name"
"babel-plugin-transform-es2015-literals@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-literals"
"babel-plugin-transform-es2015-modules-amd@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-amd"
"babel-plugin-transform-es2015-modules-commonjs@6.26.2","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-commonjs"
"babel-plugin-transform-es2015-modules-systemjs@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-systemjs"
"babel-plugin-transform-es2015-modules-umd@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-modules-umd"
"babel-plugin-transform-es2015-object-super@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-object-super"
"babel-plugin-transform-es2015-parameters@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-parameters"
"babel-plugin-transform-es2015-shorthand-properties@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-shorthand-properties"
"babel-plugin-transform-es2015-spread@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-spread"
"babel-plugin-transform-es2015-sticky-regex@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-sticky-regex"
"babel-plugin-transform-es2015-template-literals@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-template-literals"
"babel-plugin-transform-es2015-typeof-symbol@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-typeof-symbol"
"babel-plugin-transform-es2015-unicode-regex@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-es2015-unicode-regex"
"babel-plugin-transform-exponentiation-operator@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-exponentiation-operator"
"babel-plugin-transform-flow-strip-types@6.22.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-flow-strip-types"
"babel-plugin-transform-for-of-as-array@1.1.1","MIT","https://github.com/jridgewell/babel-plugin-transform-for-of-as-array"
"babel-plugin-transform-object-rest-spread@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-object-rest-spread"
"babel-plugin-transform-regenerator@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-regenerator"
"babel-plugin-transform-runtime@6.15.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-runtime"
"babel-plugin-transform-runtime@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-runtime"
"babel-plugin-transform-strict-mode@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-plugin-transform-strict-mode"
"babel-preset-env@1.7.0","MIT","https://github.com/babel/babel-preset-env"
"babel-preset-flow@6.23.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-flow"
"babel-preset-jest@23.2.0","MIT","https://github.com/facebook/jest"
"babel-preset-stage-2@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-stage-2"
"babel-preset-stage-3@6.24.1","MIT","https://github.com/babel/babel/tree/master/packages/babel-preset-stage-3"
"babel-register@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-register"
"babel-runtime@5.8.38","MIT","https://github.com/babel/babel"
"babel-runtime@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-runtime"
"babel-template@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-template"
"babel-traverse@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-traverse"
"babel-types@6.26.0","MIT","https://github.com/babel/babel/tree/master/packages/babel-types"
"babylon@6.18.0","MIT","https://github.com/babel/babylon"
"backo2@1.0.2","MIT","https://github.com/mokesmokes/backo"
"balanced-match@1.0.0","MIT","https://github.com/juliangruber/balanced-match"
"base64-arraybuffer@0.1.5","MIT","https://github.com/niklasvh/base64-arraybuffer"
"base64-js@1.3.0","MIT","https://github.com/beatgammit/base64-js"
"base64id@1.0.0","MIT","https://github.com/faeldt/base64id"
"base@0.11.2","MIT","https://github.com/node-base/base"
"bcrypt-pbkdf@1.0.2","BSD-3-Clause","https://github.com/joyent/node-bcrypt-pbkdf"
"beeper@1.1.1","MIT","https://github.com/sindresorhus/beeper"
"better-assert@1.0.2","MIT*","https://github.com/visionmedia/better-assert"
"big.js@5.2.2","MIT","https://github.com/MikeMcl/big.js"
"bin-v8-flags-filter@1.2.0","MIT","https://github.com/inikulin/bin-v8-flags-filter"
"binary-extensions@1.13.1","MIT","https://github.com/sindresorhus/binary-extensions"
"blob@0.0.5","MIT","https://github.com/webmodules/blob"
"blocking-proxy@1.0.1","MIT","https://github.com/angular/jasminewd"
"bluebird@3.5.5","MIT","https://github.com/petkaantonov/bluebird"
"body-parser@1.18.2","MIT","https://github.com/expressjs/body-parser"
"body-parser@1.18.3","MIT","https://github.com/expressjs/body-parser"
"boolbase@1.0.0","ISC","https://github.com/fb55/boolbase"
"bowser@1.6.0","MIT","https://github.com/ded/bowser"
"boxen@1.3.0","MIT","https://github.com/sindresorhus/boxen"
"brace-expansion@1.1.11","MIT","https://github.com/juliangruber/brace-expansion"
"braces@0.1.5","MIT","https://github.com/jonschlinkert/braces"
"braces@1.8.5","MIT","https://github.com/jonschlinkert/braces"
"braces@2.3.2","MIT","https://github.com/micromatch/braces"
"brotli@1.3.2","MIT","https://github.com/devongovett/brotli.js"
"browser-process-hrtime@0.1.3","BSD-2-Clause","https://github.com/kumavis/browser-process-hrtime"
"browser-resolve@1.11.3","MIT","https://github.com/shtylman/node-browser-resolve"
"browser-stdout@1.3.1","ISC","https://github.com/kumavis/browser-stdout"
"browserslist@3.2.8","MIT","https://github.com/browserslist/browserslist"
"browserstack@1.5.2","MIT*","https://github.com/scottgonzalez/node-browserstack"
"bs-logger@0.2.6","MIT","https://github.com/huafu/bs-logger"
"bser@2.0.0","Apache-2.0","https://github.com/facebook/watchman"
"buffer-alloc-unsafe@1.1.0","MIT","https://github.com/LinusU/buffer-alloc-unsafe"
"buffer-alloc@1.2.0","MIT","https://github.com/LinusU/buffer-alloc"
"buffer-crc32@0.2.13","MIT","https://github.com/brianloveswords/buffer-crc32"
"buffer-fill@1.0.0","MIT","https://github.com/LinusU/buffer-fill"
"buffer-from@1.1.1","MIT","https://github.com/LinusU/buffer-from"
"builtin-modules@1.1.1","MIT","https://github.com/sindresorhus/builtin-modules"
"busboy@0.2.14","MIT","https://github.com/mscdex/busboy"
"bytes@3.0.0","MIT","https://github.com/visionmedia/bytes.js"
"cache-base@1.0.1","MIT","https://github.com/jonschlinkert/cache-base"
"callsite-record@4.1.3","MIT","https://github.com/inikulin/source-frame"
"callsite@1.0.0","MIT*",""
"callsites@2.0.0","MIT","https://github.com/sindresorhus/callsites"
"callsites@3.1.0","MIT","https://github.com/sindresorhus/callsites"
"camelcase@4.1.0","MIT","https://github.com/sindresorhus/camelcase"
"caniuse-lite@1.0.30000974","CC-BY-4.0","https://github.com/ben-eb/caniuse-lite"
"capture-exit@1.2.0","ISC","https://github.com/stefanpenner/capture-exit"
"capture-stack-trace@1.0.1","MIT","https://github.com/floatdrop/capture-stack-trace"
"caseless@0.12.0","Apache-2.0","https://github.com/mikeal/caseless"
"chai@3.5.0","MIT","https://github.com/chaijs/chai"
"chai@4.2.0","MIT","https://github.com/chaijs/chai"
"chalk@1.1.3","MIT","https://github.com/chalk/chalk"
"chalk@2.4.2","MIT","https://github.com/chalk/chalk"
"chardet@0.7.0","MIT","https://github.com/runk/node-chardet"
"check-error@1.0.2","MIT","https://github.com/chaijs/check-error"
"cheerio@1.0.0-rc.3","MIT","https://github.com/cheeriojs/cheerio"
"chokidar@2.1.6","MIT","https://github.com/paulmillr/chokidar"
"chrome-emulated-devices-list@0.1.1","MIT","https://github.com/AndreyBelym/chrome-emulated-devices-list"
"chrome-remote-interface@0.25.7","MIT","https://github.com/cyrus-and/chrome-remote-interface"
"ci-info@1.6.0","MIT","https://github.com/watson/ci-info"
"circular-json@0.5.9","MIT","https://github.com/WebReflection/circular-json"
"class-utils@0.3.6","MIT","https://github.com/jonschlinkert/class-utils"
"cli-boxes@1.0.0","MIT","https://github.com/sindresorhus/cli-boxes"
"cli-color@1.2.0","MIT","https://github.com/medikoo/cli-color"
"cli-cursor@2.1.0","MIT","https://github.com/sindresorhus/cli-cursor"
"cli-width@2.2.0","ISC","https://github.com/knownasilya/cli-width"
"cliui@4.1.0","ISC","https://github.com/yargs/cliui"
"clone-stats@0.0.1","MIT","https://github.com/hughsk/clone-stats"
"clone@0.2.0","MIT","https://github.com/pvorb/node-clone"
"clone@1.0.4","MIT","https://github.com/pvorb/node-clone"
"co@4.6.0","MIT","https://github.com/tj/co"
"code-point-at@1.1.0","MIT","https://github.com/sindresorhus/code-point-at"
"codelyzer@4.5.0","MIT","https://github.com/mgechev/codelyzer"
"coffeescript@2.4.1","MIT","https://github.com/jashkenas/coffeescript"
"collection-visit@1.0.0","MIT","https://github.com/jonschlinkert/collection-visit"
"color-convert@1.9.3","MIT","https://github.com/Qix-/color-convert"
"color-name@1.1.3","MIT","https://github.com/dfcreative/color-name"
"color-support@1.1.3","ISC","https://github.com/isaacs/color-support"
"colors@1.1.2","MIT","https://github.com/Marak/colors.js"
"combine-lists@1.0.1","MIT","https://github.com/sjelin/combine-lists"
"combined-stream@1.0.8","MIT","https://github.com/felixge/node-combined-stream"
"commander@2.11.0","MIT","https://github.com/tj/commander.js"
"commander@2.15.1","MIT","https://github.com/tj/commander.js"
"commander@2.20.0","MIT","https://github.com/tj/commander.js"
"compare-versions@3.4.0","MIT","https://github.com/omichelsen/compare-versions"
"component-bind@1.0.0","MIT*","https://github.com/component/bind"
"component-emitter@1.2.1","MIT","https://github.com/component/emitter"
"component-emitter@1.3.0","MIT","https://github.com/component/emitter"
"component-inherit@0.0.3","MIT*","https://github.com/component/inherit"
"concat-map@0.0.1","MIT","https://github.com/substack/node-concat-map"
"concat-stream@1.6.2","MIT","https://github.com/maxogden/concat-stream"
"configstore@3.1.2","BSD-2-Clause","https://github.com/yeoman/configstore"
"connect@3.7.0","MIT","https://github.com/senchalabs/connect"
"connected-domain@1.0.0","MIT","https://github.com/neekey/connected-domain"
"consola@1.4.5","MIT","https://github.com/nuxt/consola"
"content-disposition@0.5.2","MIT","https://github.com/jshttp/content-disposition"
"content-type@1.0.4","MIT","https://github.com/jshttp/content-type"
"convert-source-map@1.6.0","MIT","https://github.com/thlorenz/convert-source-map"
"cookie-signature@1.0.6","MIT","https://github.com/visionmedia/node-cookie-signature"
"cookie@0.3.1","MIT","https://github.com/jshttp/cookie"
"cookiejar@2.1.2","MIT","https://github.com/bmeck/node-cookiejar"
"copy-descriptor@0.1.1","MIT","https://github.com/jonschlinkert/copy-descriptor"
"core-js@1.2.7","MIT","https://github.com/zloirock/core-js"
"core-js@2.6.9","MIT","https://github.com/zloirock/core-js"
"core-util-is@1.0.2","MIT","https://github.com/isaacs/core-util-is"
"cors@2.8.4","MIT","https://github.com/expressjs/cors"
"create-error-class@3.0.2","MIT","https://github.com/floatdrop/create-error-class"
"cross-env@5.2.0","MIT","https://github.com/kentcdodds/cross-env"
"cross-spawn@4.0.0","MIT","https://github.com/IndigoUnited/node-cross-spawn"
"cross-spawn@5.1.0","MIT","https://github.com/IndigoUnited/node-cross-spawn"
"cross-spawn@6.0.5","MIT","https://github.com/moxystudio/node-cross-spawn"
"crypto-md5@1.0.0","BSD*","https://github.com/jtblin/crypto-md5"
"crypto-random-string@1.0.0","MIT","https://github.com/sindresorhus/crypto-random-string"
"css-select@1.2.0","BSD*","https://github.com/fb55/css-select"
"css-selector-tokenizer@0.7.1","MIT","https://github.com/css-modules/css-selector-tokenizer"
"css-what@2.1.3","BSD-2-Clause","https://github.com/fb55/css-what"
"css@2.2.3","MIT","https://github.com/reworkcss/css"
"cssauron@1.4.0","MIT","https://github.com/chrisdickinson/cssauron"
"cssesc@0.1.0","MIT","https://github.com/mathiasbynens/cssesc"
"cssom@0.3.6","MIT","https://github.com/NV/CSSOM"
"cssstyle@1.2.2","MIT","https://github.com/jsakas/CSSStyleDeclaration"
"custom-event@1.0.1","MIT","https://github.com/webmodules/custom-event"
"d@1.0.0","MIT","https://github.com/medikoo/d"
"dargs@5.1.0","MIT","https://github.com/sindresorhus/dargs"
"dashdash@1.14.1","MIT","https://github.com/trentm/node-dashdash"
"data-urls@1.1.0","MIT","https://github.com/jsdom/data-urls"
"date-format@1.2.0","MIT","https://github.com/nomiddlename/date-format"
"dateformat@2.2.0","MIT","https://github.com/felixge/node-dateformat"
"debug@2.6.9","MIT","https://github.com/visionmedia/debug"
"debug@3.1.0","MIT","https://github.com/visionmedia/debug"
"debug@3.2.6","MIT","https://github.com/visionmedia/debug"
"debug@4.1.1","MIT","https://github.com/visionmedia/debug"
"decamelize@1.2.0","MIT","https://github.com/sindresorhus/decamelize"
"decode-uri-component@0.2.0","MIT","https://github.com/SamVerschueren/decode-uri-component"
"dedent@0.4.0","MIT","https://github.com/dmnd/dedent"
